type,superclass,class,npmapSymbol,hfcSymbol,iconSource,makiIcon,optionalTags,description,howToMap,altNames,oldAltNames,iDSearchTerms,tags,point,vertex,line,polygon,JSON_Fields,layerIndex,inCarto,inEditor,inGuide,defaultOrder
Wheelchair Accessible,Accessibility,Wheelchair Accessible,wheelchair-accessible,Wheelchair-accessible,npmap-symbol-library,wheelchair-accessible-black,,,,"[""wheelchair"", ""accessible""]","[""wheelchair"", ""accessible""]","{""wheelchair accessible"",wheelchair,accessible}","{""wheelchair"":""*""}",x,,,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Floating Restroom,Accommodation,Floating Restroom,restrooms,Floating dump station/restroom,npmap-symbol-library,restrooms-black,,,,[],"[""restoom"",""latrine""]","{""floating restroom""}","{""amenity"":""toilets"",""type"":""floating""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours,toilets/disposal,gender,indoor,fee,access}",10,TRUE,TRUE,TRUE,
Restroom,Accommodation,Restroom,restrooms,,npmap-symbol-library,restrooms-black,,,,"[""restroom"",""bathroom"", ""latrine"", ""lavatory"", ""outhouse"", ""privy"", ""toilet"", ""toilets"", ""water closet"", ""wc""]","[""bathroom"", ""latrine"", ""lavatory"", ""outhouse"", ""privy"", ""toilet"", ""toilets"", ""water closet"", ""wc""]","{restroom,toilets,toilet,privy,head,bathroom,lavatory,wc,""water closet"",latrine,outhouse}","{""amenity"":""toilets""}",x,x,,,"{name,nps/unitcode,operator,address,opening_hours,toilets/disposal,gender,indoor,fee,access}",10,TRUE,TRUE,TRUE,-1
Fence,Barrier,Fence,,,,,,,,"[""barricade"", ""barrier"", ""enclosure"", ""fencing"", ""palisade"", ""railing"", ""stockade""]","[""barricade"", ""barrier"", ""enclosure"", ""fencing"", ""palisade"", ""railing"", ""stockade""]",{fence},"{""barrier"":""fence""}",,,x,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Gate,Barrier,Gate,,,,,,,,"[""entry way""]","[""entry way""]",{gate},"{""barrier"":""gate""}",,,x,,"{name,nps/unitcode}",10,TRUE,TRUE,TRUE,
Barn,Building,Agricultural,,,maki,farm,,,,"[""farmhouse""]","[""farmhouse""]",{barn},"{""building"":""barn""}",x,,,,"{name,nps/unitcode,address,levels,landuse}",70,TRUE,TRUE,TRUE,
Greenhouse,Building,Agricultural,,,maki,garden,,,,"[""glasshouse"", ""hothouse""]","[""glasshouse"", ""hothouse""]","{greenhouse,glasshouse,garden}","{""building"":""greenhouse""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Ranch,Building,Agricultural,,,,,,,,"[""barnyard"", ""farmyard"", ""dude ranch""]","[""barnyard"", ""farmyard"", ""dude ranch""]",,"{""landuse"":""farmland""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",10,TRUE,TRUE,TRUE,
Stable,Building,Agricultural,stable,,npmap-symbol-library,stable-black,,,,"[""box stall"", ""pen"", ""stall""]","[""box stall"", ""pen"", ""stall""]",{stable},"{""building"":""stable""}",x,,,,"{name,nps/unitcode,address,levels,landuse}",70,TRUE,TRUE,TRUE,
Building,Building,Building,,,maki,building,,,,"[""structure""]","[""structure""]","{building,structure}","{""building"":""*""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Building Footprint,Building,Building,,,maki,building,,,,"[""footprint""]","[""building"", ""footprint""]","{building,structure}","{""building"":""*""}",,,,x,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,1
Building Under Construction,Building,Building,,,maki,building,,,,"[""under construction"", ""construction"", ""construction area"", ""construction zone""]","[""building"", ""under construction"", ""construction"", ""construction area"", ""construction zone""]","{""building under construction"",construction,""under construction""}","{""building"":""construction""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Bunker,Building,Building,,,maki,building,,,,"[""air-raid shelter"", ""fallout shelter"", ""military bunker""]","[""air-raid shelter"", ""fallout shelter"", ""military bunker""]","{bunker,""military bunker""}","{""building"":""bunker""}",x,,,,"{name,nps/unitcode,address,levels,bunker_type}",70,TRUE,TRUE,TRUE,
Public Building,Building,Building,,,maki,building,,,,"[""public"", ""civic"", ""court house"", ""courthouse"", ""townhall"", ""town hall""]","[""building"", ""public"", ""civic"", ""court house"", ""courthouse"", ""townhall"", ""town hall""]","{""public building"",public,civic,""town hall"",""court house""}","{""building"":""public""}",x,,,,"{name,nps/unitcode,address,levels,smoking}",70,TRUE,TRUE,TRUE,
Cabin,Building,Cabin,shelter-cabin,Shelter cabin,maki,building,,,,"[""cottage"", ""log cabin""]","[""cottage"", ""log cabin""]",{cabin},"{""building"":""cabin""}",x,,,,"{name,nps/unitcode,address,levels}",70,TRUE,TRUE,TRUE,
Administrative Office,Building,Commercial,,,maki,commercial,,,,"[ ""administrative"", ""office"", ""admin"", ""admin office"", ""civil service"", ""government"", ""government office""]","[""building"", ""administrative"", ""office"", ""admin"", ""admin office"", ""civil service"", ""government"", ""government office""]","{""administrative office"",""admin office"",government,""civil service""}","{""office"":""government""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",70,TRUE,TRUE,TRUE,
Commercial Building,Building,Commercial,,,maki,commercial,,,,"[""commercial""]","[""building"", ""commercial""]","{""commercial building"",commercial}","{""building"":""commercial""}",x,,,,"{name,nps/unitcode,address,levels,smoking}",70,TRUE,TRUE,TRUE,
Headquarters,Building,Commercial,,,maki,commercial,,,,"[ ""government headquarters"", ""hq"", ""park hq"", ""park headquarters""]","[""building"", ""government headquarters"", ""hq"", ""park hq"", ""park headquarters""]","{headquarters,office,""government headquarters"",""government office"",""office building""}","{""building"":""office"",""office"":""government"",""function"":""headquarters""}",x,,,,"{name,nps/unitcode,operator,address,opening_hours}",70,TRUE,TRUE,TRUE,1
